детском/ADJ,фантастическом/ADJ,фильме/NOUN
Дальневосточном/ADJ,федеральном/ADJ,округе/NOUN
Дальневосточного/ADJ,регионального/ADJ,центра/NOUN
финансовых/ADJ,уголовных/ADJ,дел/NOUN
Савеловский/ADJ,межмуниципальный/ADJ,суд/NOUN
Лос-Анджелесский/ADJ,международный/ADJ,аэропорт/NOUN
Римская/ADJ,католическая/ADJ,церковь/NOUN
крупном/ADJ,дорожно-транспортном/ADJ,происшествии/NOUN
3-й/ADJ,Владимирской/ADJ,улице/NOUN
оппозиционная/ADJ,Социал-демократическая/ADJ,партия/NOUN
Саудовский/ADJ,наследный/ADJ,принц/NOUN
Палестинской/ADJ,национальной/ADJ,автономии/NOUN
радикальной/ADJ,мусульманской/ADJ,организации/NOUN
Международный/ADJ,Олимпийский/ADJ,комитет/NOUN
надежная/ADJ,правовая/ADJ,основа/NOUN
Государственного/ADJ,камерного/ADJ,оркестра/NOUN
британским/ADJ,исламским/ADJ,активистом/NOUN
скорой/ADJ,медицинской/ADJ,помощи/NOUN
сегодняшнего/ADJ,пленарного/ADJ,заседания/NOUN
известным/ADJ,сомалийским/ADJ,истребителем/NOUN
фальшивых/ADJ,стодолларовых/ADJ,купюр/NOUN
холодных/ADJ,воздушных/ADJ,масс/NOUN
Пакистанские/ADJ,судебные/ADJ,власти/NOUN
известный/ADJ,исламский/ADJ,экстремист/NOUN
средних/ADJ,транспортных/ADJ,вертолета/NOUN
южный/ADJ,японский/ADJ,порт/NOUN
новый/ADJ,атомный/ADJ,реактор/NOUN
других/ADJ,научных/ADJ,целей/NOUN
двустороннее/ADJ,экономическое/ADJ,сотрудничество/NOUN
регулярное/ADJ,пассажирское/ADJ,сообщение/NOUN
новой/ADJ,международной/ADJ,трассе/NOUN
Палестинской/ADJ,национальной/ADJ,администрации/NOUN
длительное/ADJ,тюремное/ADJ,заключение/NOUN
крупнейших/ADJ,польских/ADJ,верфей/NOUN
всемирного/ADJ,экономического/ADJ,спада/NOUN
Восточном/ADJ,административном/ADJ,округе/NOUN
Государственной/ADJ,пожарной/ADJ,службы/NOUN
трехдневное/ADJ,средиземноморское/ADJ,турне/NOUN
короткий/ADJ,холодный/ADJ,дождь/NOUN
знаменитой/ADJ,Парижской/ADJ,оперы/NOUN
парижской/ADJ,пожарной/ADJ,службы/NOUN
Государственного/ADJ,таможенного/ADJ,комитета/NOUN
радикальную/ADJ,исламскую/ADJ,группировку/NOUN
российским/ADJ,авиационным/ADJ,властям/NOUN
альтернативной/ADJ,гражданской/ADJ,службе/NOUN
альтернативной/ADJ,гражданской/ADJ,службы/NOUN
альтернативную/ADJ,гражданскую/ADJ,службу/NOUN
Нижегородского/ADJ,областного/ADJ,суда/NOUN
альтернативную/ADJ,гражданскую/ADJ,службу/NOUN
постоянной/ADJ,боевой/ADJ,готовности/NOUN
Московской/ADJ,международной/ADJ,киношколе/NOUN
нового/ADJ,антитеррористического/ADJ,закона/NOUN
личных/ADJ,подсобных/ADJ,хозяйств/NOUN
Русской/ADJ,духовной/ADJ,миссии/NOUN
Русскую/ADJ,духовную/ADJ,миссию/NOUN
Русской/ADJ,духовной/ADJ,миссии/NOUN
Европейский/ADJ,центральный/ADJ,банк/NOUN
текущих/ADJ,минимальных/ADJ,уровней/NOUN
Белорусские/ADJ,местные/ADJ,руководители/NOUN
синей/ADJ,шелковой/ADJ,кистью/NOUN
Традиционный/ADJ,весенний/ADJ,месячник/NOUN
новым/ADJ,лексусовским/ADJ,салоном/NOUN
российская/ADJ,презентация/NOUN,нового/ADJ
сильнейшая/ADJ,морская/ADJ,волна/NOUN
общенационального/ADJ,важнейшего/ADJ,события/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
длительные/ADJ,кровопролитные/ADJ,сражения/NOUN
Великой/ADJ,Отечественной/ADJ,войне/NOUN
двухдневный/ADJ,ежегодный/ADJ,саммит/NOUN
белых/ADJ,коммерческих/ADJ,фермеров/NOUN
российской/ADJ,военной/ADJ,техникой/NOUN
военного/ADJ,российского/ADJ,имущества/NOUN
Катарский/ADJ,спутниковый/ADJ,телеканал/NOUN
израильским/ADJ,военным/ADJ,кругам/NOUN
израильские/ADJ,бронетанковые/ADJ,колонны/NOUN
очередной/ADJ,интервальный/ADJ,период/NOUN
городской/ADJ,избирательной/ADJ,комиссией/NOUN
ведущие/ADJ,фондовые/ADJ,индексы/NOUN
квартальных/ADJ,корпоративных/ADJ,показателей/NOUN
общей/ADJ,макроэкономической/ADJ,нестабильности/NOUN
Печальные/ADJ,корпоративные/ADJ,новости/NOUN
основные/ADJ,европейские/ADJ,аэропорты/NOUN
азиатского/ADJ,финансового/ADJ,кризиса/NOUN
стационарные/ADJ,переписные/ADJ,пункты/NOUN
необходимую/ADJ,финансовую/ADJ,отчетность/NOUN
межрегиональных/ADJ,кустовых/ADJ,центров/NOUN
остальных/ADJ,кустовых/ADJ,центров/NOUN
Главный/ADJ,межрегиональный/ADJ,центр/NOUN
Первый/ADJ,аналогичный/ADJ,митинг/NOUN
ключевых/ADJ,железнодорожных/ADJ,мостах/NOUN
другой/ADJ,террористической/ADJ,группировкой/NOUN
российскому/ADJ,Белому/ADJ,дому/NOUN
американской/ADJ,дипломатической/ADJ,миссии/NOUN
катарским/ADJ,спутниковым/ADJ,каналом/NOUN
верхних/ADJ,дыхательных/ADJ,путей/NOUN
Главный/ADJ,санитарный/ADJ,врач/NOUN
Главный/ADJ,санитарный/ADJ,врач/NOUN
смертельную/ADJ,гонконгскую/ADJ,пневмонию/NOUN
загородные/ADJ,земельные/ADJ,участки/NOUN
других/ADJ,подмосковных/ADJ,направлениях/NOUN
ведущими/ADJ,риэлторскими/ADJ,агентствами/NOUN
другими/ADJ,инвестиционными/ADJ,инструментами/NOUN
хорошая/ADJ,скоростная/ADJ,трасса/NOUN
рейсовый/ADJ,двухэтажный/ADJ,автобус/NOUN
всемирной/ADJ,компьютерной/ADJ,сети/NOUN
бывшего/ADJ,иракского/ADJ,лидера/NOUN
высшим/ADJ,учебным/ADJ,заведениям/NOUN
коммерческие/ADJ,образовательные/ADJ,учреждения/NOUN
государственной/ADJ,высшей/ADJ,школы/NOUN
Одинокой/ADJ,беременной/ADJ,женщине/NOUN
чилийского/ADJ,рекламного/ADJ,агентства/NOUN
ведущие/ADJ,индустриальные/ADJ,страны/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
Всемирного/ADJ,торгового/ADJ,центра/NOUN
Всемирного/ADJ,торгового/ADJ,центра/NOUN
25-страничного/ADJ,открытого/ADJ,письма/NOUN
глубокими/ADJ,искусственными/ADJ,туннелями/NOUN
первых/ADJ,ночных/ADJ,рейдов/NOUN
мировых/ADJ,нефтяных/ADJ,цен/NOUN
другие/ADJ,крупные/ADJ,производители/NOUN
новой/ADJ,рабочей/ADJ,неделей/NOUN
естественная/ADJ,защитная/ADJ,реакция/NOUN
собственной/ADJ,вековой/ADJ,традиции/NOUN
крупных/ADJ,европейских/ADJ,городов/NOUN
мощная/ADJ,арабская/ADJ,община/NOUN
демократической/ADJ,европейской/ADJ,демагогии/NOUN
прежних/ADJ,религиозных/ADJ,убеждений/NOUN
вопиющей/ADJ,социальной/ADJ,несправедливости/NOUN
Ведущие/ADJ,военные/ADJ,эксперты/NOUN
необратимым/ADJ,экологическим/ADJ,последствиям/NOUN
американской/ADJ,военной/ADJ,акции/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
будущего/ADJ,афганского/ADJ,правительства/NOUN
законным/ADJ,афганским/ADJ,президентом/NOUN
подземные/ADJ,командные/ADJ,пункты/NOUN
Американское/ADJ,Федеральное/ADJ,бюро/NOUN
крупнейшей/ADJ,российской/ADJ,компании/NOUN
Всемирном/ADJ,экономическом/ADJ,форуме/NOUN
мировая/ADJ,конкурентная/ADJ,среда/NOUN
Палестинская/ADJ,террористическая/ADJ,группировка/NOUN
будущем/ADJ,коалиционном/ADJ,правительстве/NOUN
будущего/ADJ,коалиционного/ADJ,правительства/NOUN
будущем/ADJ,политическом/ADJ,устройстве/NOUN
другой/ADJ,европейской/ADJ,страны/NOUN
недоброкачественного/ADJ,сливочного/ADJ,масла/NOUN
детские/ADJ,дошкольные/ADJ,учреждения/NOUN
удачной/ADJ,рабочей/ADJ,недели/NOUN
мировом/ADJ,нефтяном/ADJ,рынке/NOUN
двадцатый/ADJ,рабочий/ADJ,день/NOUN
мировые/ADJ,нефтяные/ADJ,цены/NOUN
Международного/ADJ,энергетического/ADJ,агентства/NOUN
последнего/ADJ,резкого/ADJ,снижения/NOUN
временный/ADJ,спекулятивный/ADJ,эффект/NOUN
самим/ADJ,нефтяным/ADJ,картелем/NOUN
нового/ADJ,военного/ADJ,конфликта/NOUN
крупных/ADJ,нефтедобывающих/ADJ,стран/NOUN
других/ADJ,крупных/ADJ,городах/NOUN
среднемесячные/ADJ,июньские/ADJ,показатели/NOUN
американским/ADJ,правоохранительным/ADJ,органам/NOUN
государственной/ADJ,противопожарной/ADJ,службы/NOUN
прошлогодние/ADJ,трагические/ADJ,события/NOUN
московском/ADJ,театральном/ADJ,центре/NOUN
всемирный/ADJ,экономический/ADJ,форум/NOUN
невыносимых/ADJ,похмельных/ADJ,часов/NOUN
немногие/ADJ,пустые/ADJ,закутки/NOUN
замызганному/ADJ,рукомойному/ADJ,фаянсу/NOUN
ничтожная/ADJ,белая/ADJ,граница/NOUN
теплых/ADJ,человеческих/ADJ,жилищ/NOUN
огнистые/ADJ,разноцветные/ADJ,окна/NOUN
маленький/ADJ,черный/ADJ,ноготь/NOUN
коленчатой/ADJ,черной/ADJ,трубой/NOUN
крепкий/ADJ,бараний/ADJ,запах/NOUN
короткий/ADJ,неведомый/ADJ,срок/NOUN
черный/ADJ,слоистый/ADJ,пепел/NOUN
толстых/ADJ,ваточных/ADJ,штанах/NOUN
Веселый/ADJ,голубой/ADJ,дымок/NOUN
привычной/ADJ,утренней/ADJ,порции/NOUN
толстыми/ADJ,каменными/ADJ,перилами/NOUN
большие/ADJ,плоские/ADJ,льды/NOUN
большие/ADJ,солдатские/ADJ,валенки/NOUN
специального/ADJ,несложного/ADJ,теста/NOUN
белых/ADJ,бархатных/ADJ,заборов/NOUN
четырехчасовых/ADJ,дневных/ADJ,тестов/NOUN
сумрачной/ADJ,многоводной/ADJ,реки/NOUN
большие/ADJ,строгие/ADJ,женщины/NOUN
короткое/ADJ,здешнее/ADJ,лето/NOUN
старых/ADJ,школьных/ADJ,тетрадок/NOUN
детдомовская/ADJ,ежедневная/ADJ,жизнь/NOUN
коренных/ADJ,питерских/ADJ,рабочих/NOUN
чье-то/ADJ,чужое/ADJ,место/NOUN
нежелательных/ADJ,электронных/ADJ,писем/NOUN
четкий/ADJ,рисунчатый/ADJ,ритм/NOUN
большая/ADJ,белая/ADJ,рыба/NOUN
посторонняя/ADJ,тупая/ADJ,тяжесть/NOUN
широкополосное/ADJ,домашнее/ADJ,подключение/NOUN
свежий/ADJ,лакомый/ADJ,кусочек/NOUN
янтарными/ADJ,голыми/ADJ,пятками/NOUN
голубые/ADJ,мусорные/ADJ,баки/NOUN
закатный/ADJ,солнечный/ADJ,свет/NOUN
электронные/ADJ,идентификационные/ADJ,подписи/NOUN
зеленой/ADJ,прошлогодней/ADJ,травой/NOUN
крестообразные/ADJ,бумажные/ADJ,наклейки/NOUN
светлые/ADJ,полновесные/ADJ,капли/NOUN
Тонкая/ADJ,разрезная/ADJ,тень/NOUN
тоненький/ADJ,культурный/ADJ,ручеек/NOUN
вторая/ADJ,музыкальная/ADJ,жизнь/NOUN
американской/ADJ,войсковой/ADJ,группировки/NOUN
единственная/ADJ,возможная/ADJ,форма/NOUN
бывшая/ADJ,опереточная/ADJ,артистка/NOUN
чьими-то/ADJ,чужими/ADJ,глазами/NOUN
прямые/ADJ,мокрые/ADJ,волосы/NOUN
нелепой/ADJ,маленькой/ADJ,пилотки/NOUN
сегодняшние/ADJ,школьные/ADJ,вольнодумцы/NOUN
гуманные/ADJ,человеческие/ADJ,слова/NOUN
Новая/ADJ,школьная/ADJ,жизнь/NOUN
Спутниковая/ADJ,мобильная/ADJ,связь/NOUN
яркие/ADJ,коллективные/ADJ,индивидуальности/NOUN
Настоящие/ADJ,школьные/ADJ,коллективы/NOUN
спутниковой/ADJ,мобильной/ADJ,связи/NOUN
обычные/ADJ,технические/ADJ,вузы/NOUN
необходимых/ADJ,изначальных/ADJ,условиях/NOUN
общих/ADJ,программных/ADJ,требований/NOUN
разных/ADJ,московских/ADJ,школах/NOUN
специализированных/ADJ,математических/ADJ,вузах/NOUN
высших/ADJ,учебных/ADJ,заведений/NOUN
Всесоюзной/ADJ,партийной/ADJ,конференции/NOUN
возможных/ADJ,негативных/ADJ,изменениях/NOUN
Крупные/ADJ,промышленные/ADJ,аварии/NOUN
водных/ADJ,природных/ADJ,объектов/NOUN
других/ADJ,промышленных/ADJ,центров/NOUN
общего/ADJ,экологического/ADJ,состояния/NOUN
спутниковой/ADJ,мобильной/ADJ,связи/NOUN
Приозерского/ADJ,целлюлозного/ADJ,комбината/NOUN
Кемеровском/ADJ,коксохимическом/ADJ,заводе/NOUN
Нижне-Тагильского/ADJ,металлургического/ADJ,комбината/NOUN
Лениногорском/ADJ,полиметаллическом/ADJ,комбинате/NOUN
Чимкентском/ADJ,свинцовом/ADJ,заводе/NOUN
Московский/ADJ,коксо-газовый/ADJ,завод/NOUN
огромными/ADJ,черными/ADJ,озерами/NOUN
гигантскими/ADJ,промышленными/ADJ,комплексами/NOUN
ведомственную/ADJ,круговую/ADJ,поруку/NOUN
рыжая/ADJ,щетинистая/ADJ,осока/NOUN
высшие/ADJ,алифатические/ADJ,амины/NOUN
принудительная/ADJ,судебно-психиатрическая/ADJ,экспертиза/NOUN
Октябрьский/ADJ,народный/ADJ,суд/NOUN
другие/ADJ,партийные/ADJ,работники/NOUN
Октябрьского/ADJ,народного/ADJ,суда/NOUN
широкополосной/ADJ,мобильной/ADJ,связи/NOUN
студенческих/ADJ,строительных/ADJ,отрядов/NOUN
высоким/ADJ,промышленным/ADJ,стандартам/NOUN
других/ADJ,партийных/ADJ,органах/NOUN
хорошей/ADJ,партийной/ADJ,школы/NOUN
первичных/ADJ,партийных/ADJ,организаций/NOUN
национальной/ADJ,спутниковой/ADJ,связи/NOUN
фиктивным/ADJ,расходным/ADJ,документам/NOUN
личные/ADJ,корыстные/ADJ,злоупотребления/NOUN
современного/ADJ,сложного/ADJ,производства/NOUN
Северского/ADJ,трубного/ADJ,завода/NOUN
Николаевском/ADJ,морском/ADJ,порту/NOUN
первых/ADJ,устойчивых/ADJ,заморозков/NOUN
нормальном/ADJ,физиологическом/ADJ,состоянии/NOUN
крайний/ADJ,северный/ADJ,участок/NOUN
национальные/ADJ,Красные/ADJ,книги/NOUN
единственная/ADJ,крупная/ADJ,популяция/NOUN
крупных/ADJ,желтых/ADJ,шляпок/NOUN
развернутых/ADJ,биографических/ADJ,сведений/NOUN
новых/ADJ,растительных/ADJ,культур/NOUN
истинное/ADJ,сельскохозяйственное/ADJ,чудо/NOUN
толстым/ADJ,неполегающим/ADJ,стеблем/NOUN
известным/ADJ,ботаническим/ADJ,доктринам/NOUN
Известный/ADJ,французский/ADJ,ботаник/NOUN
маленькие/ADJ,толстые/ADJ,листья/NOUN
большое/ADJ,внешнее/ADJ,сходство/NOUN
современного/ADJ,школьного/ADJ,воспитания/NOUN
школьном/ADJ,математическом/ADJ,кружке/NOUN
детскую/ADJ,физико-математическую/ADJ,школу/NOUN
аналоговая/ADJ,телевизионная/ADJ,система/NOUN
своеобразными/ADJ,энергетическими/ADJ,слепками/NOUN
холодным/ADJ,голубоватым/ADJ,светом/NOUN
традиционный/ADJ,непрерывный/ADJ,сигнал/NOUN
Международного/ADJ,консультативного/ADJ,комитета/NOUN
Единый/ADJ,мировой/ADJ,стандарт/NOUN
маломощная/ADJ,электрическая/ADJ,лампочка/NOUN
домашнее/ADJ,справочное/ADJ,бюро/NOUN
мощные/ADJ,компрессорные/ADJ,установки/NOUN
легкие/ADJ,синтетические/ADJ,материалы/NOUN
новая/ADJ,транспортная/ADJ,линия/NOUN
грузовая/ADJ,пневмоконтейнерная/ADJ,система/NOUN
стандартных/ADJ,металлических/ADJ,труб/NOUN
собственным/ADJ,пневматическим/ADJ,тормозом/NOUN
Годовой/ADJ,экономический/ADJ,эффект/NOUN
советского/ADJ,промышленного/ADJ,объединения/NOUN
Белорусского/ADJ,политехнического/ADJ,института/NOUN
больших/ADJ,контактных/ADJ,давлений/NOUN
высоким/ADJ,контактным/ADJ,давлением/NOUN
протестантской/ADJ,Новой/ADJ,церкви/NOUN
мощным/ADJ,тепловым/ADJ,потоком/NOUN
Куйбышевского/ADJ,авиационного/ADJ,института/NOUN
тонкой/ADJ,шелковой/ADJ,ткани/NOUN
попутного/ADJ,тангенциального/ADJ,точения/NOUN
отечественную/ADJ,инженерную/ADJ,идею/NOUN
первых/ADJ,промышленных/ADJ,образцов/NOUN
попутного/ADJ,тангенциального/ADJ,точения/NOUN
быстрый/ADJ,обратный/ADJ,ход/NOUN
обычном/ADJ,токарном/ADJ,станке/NOUN
Попутное/ADJ,тангенциальное/ADJ,точение/NOUN
Сложная/ADJ,политическая/ADJ,ситуация/NOUN
Могилевский/ADJ,лифтостроительный/ADJ,завод/NOUN
обычных/ADJ,токарных/ADJ,станка/NOUN
старой/ADJ,детской/ADJ,книжки/NOUN
бытовых/ADJ,вибрационных/ADJ,насосов/NOUN
талантливым/ADJ,русским/ADJ,инженером/NOUN
современных/ADJ,инерционных/ADJ,насосах/NOUN
электромагнитный/ADJ,резонансный/ADJ,вибровозбудитель/NOUN
солнечных/ADJ,фотоэлектрических/ADJ,преобразователей/NOUN
аналогичных/ADJ,технических/ADJ,устройств/NOUN
экономичных/ADJ,инерционных/ADJ,насосов/NOUN
стремительная/ADJ,маленькая/ADJ,пуля/NOUN
главного/ADJ,современного/ADJ,требования/NOUN
соответствующего/ADJ,резального/ADJ,оборудования/NOUN
тонкий/ADJ,металлический/ADJ,стержень/NOUN
выгодным/ADJ,технологическим/ADJ,методом/NOUN
Национальной/ADJ,инженерной/ADJ,лаборатории/NOUN
высокотемпературной/ADJ,газовой/ADJ,экструзии/NOUN
Кыштымского/ADJ,лесного/ADJ,хозяйства/NOUN
Тонкие/ADJ,металлические/ADJ,стержни/NOUN
высокотемпературной/ADJ,газовой/ADJ,экструзии/NOUN
высокотемпературной/ADJ,газовой/ADJ,экструзии/NOUN
высокотемпературной/ADJ,газовой/ADJ,экструзии/NOUN
сильному/ADJ,абразивному/ADJ,износу/NOUN
простейшие/ADJ,механические/ADJ,золоуловители/NOUN
сложных/ADJ,социальных/ADJ,проблем/NOUN
больших/ADJ,механических/ADJ,напряжениях/NOUN
высокими/ADJ,механическими/ADJ,свойствами/NOUN
большую/ADJ,чугунную/ADJ,пушку/NOUN
массивными/ADJ,холодными/ADJ,валками/NOUN
Челябинского/ADJ,краеведческого/ADJ,музея/NOUN
особого/ADJ,кварцевого/ADJ,стекла/NOUN
огромное/ADJ,прикладное/ADJ,значение/NOUN
редкий/ADJ,химический/ADJ,элемент/NOUN
первой/ADJ,мировой/ADJ,войны/NOUN
других/ADJ,ценных/ADJ,веществ/NOUN
первой/ADJ,опытной/ADJ,установке/NOUN
разнообразных/ADJ,стихийных/ADJ,бедствий/NOUN
быстродействующих/ADJ,глобальных/ADJ,систем/NOUN
крупных/ADJ,национальных/ADJ,библиотек/NOUN
совершенных/ADJ,вычислительных/ADJ,комплексов/NOUN
метеорологическая/ADJ,космическая/ADJ,система/NOUN
наземные/ADJ,региональные/ADJ,центры/NOUN
Космическая/ADJ,метеорологическая/ADJ,система/NOUN
заинтересованным/ADJ,прогностическим/ADJ,органам/NOUN
реальную/ADJ,погодную/ADJ,обстановку/NOUN
крупных/ADJ,морских/ADJ,судах/NOUN
космических/ADJ,метеорологических/ADJ,системах/NOUN
бортовых/ADJ,многоспектральных/ADJ,устройств/NOUN
сельского/ADJ,хозяйственного/ADJ,производства/NOUN
сложная/ADJ,комплексная/ADJ,проблема/NOUN
единственное/ADJ,демидовское/ADJ,предприятие/NOUN
Второе/ADJ,важное/ADJ,обстоятельство/NOUN
неожиданный/ADJ,косвенный/ADJ,выход/NOUN
замкнутых/ADJ,экологических/ADJ,систем/NOUN
другие/ADJ,неорганические/ADJ,вещества/NOUN
бывшего/ADJ,мощного/ADJ,завода/NOUN
слабая/ADJ,тепловая/ADJ,конвекция/NOUN
экстремальных/ADJ,рабочих/ADJ,режимах/NOUN
новых/ADJ,технологических/ADJ,процессов/NOUN
новых/ADJ,композиционных/ADJ,материалов/NOUN
основным/ADJ,энергетическим/ADJ,гидроузлом/NOUN
автоматических/ADJ,межпланетных/ADJ,станций/NOUN
специальный/ADJ,радиометрический/ADJ,комплекс/NOUN
аналогичные/ADJ,зарубежные/ADJ,приборы/NOUN
космического/ADJ,научного/ADJ,приборостроения/NOUN
космического/ADJ,многозонального/ADJ,фотоаппарата/NOUN
Единой/ADJ,телеметрической/ADJ,системы/NOUN
обычным/ADJ,телефонным/ADJ,каналам/NOUN
специализированные/ADJ,медицинские/ADJ,центры/NOUN
мощным/ADJ,экономическим/ADJ,потенциалом/NOUN
важную/ADJ,экологическую/ADJ,проблему/NOUN
целые/ADJ,горные/ADJ,хребты/NOUN
полной/ADJ,безотходной/ADJ,переработки/NOUN
легкие/ADJ,нержавеющие/ADJ,металлы/NOUN
сегодняшние/ADJ,автомобильные/ADJ,заводы/NOUN
второй/ADJ,возможный/ADJ,метод/NOUN
единственный/ADJ,практический/ADJ,метод/NOUN
узком/ADJ,морском/ADJ,проливе/NOUN
следовые/ADJ,тяжелые/ADJ,металлы/NOUN
наземных/ADJ,урановых/ADJ,руд/NOUN
видные/ADJ,советские/ADJ,ученые/NOUN
электронного/ADJ,парамагнитного/ADJ,резонанса/NOUN
парамагнитных/ADJ,химических/ADJ,частиц/NOUN
обычных/ADJ,химических/ADJ,соединений/NOUN
уникальный/ADJ,фотомеханический/ADJ,эффект/NOUN
одинакового/ADJ,химического/ADJ,состава/NOUN
полиядерных/ADJ,металлоорганических/ADJ,соединений/NOUN
знаменитым/ADJ,демидовским/ADJ,железом/NOUN
новые/ADJ,лекарственные/ADJ,препараты/NOUN
новые/ADJ,практические/ADJ,приложения/NOUN
активных/ADJ,свободных/ADJ,радикалов/NOUN
сложных/ADJ,биохимических/ADJ,реакций/NOUN
Разборчивые/ADJ,жидкие/ADJ,мембраны/NOUN
труднопроходимыми/ADJ,лесными/ADJ,дорогами/NOUN
специальное/ADJ,химическое/ADJ,соединение/NOUN
исключительные/ADJ,электрофизические/ADJ,свойства/NOUN
глубокой/ADJ,потенциальной/ADJ,яме/NOUN
внешнее/ADJ,электрическое/ADJ,поле/NOUN
твердых/ADJ,ионообменных/ADJ,мембран/NOUN
различные/ADJ,избирательные/ADJ,реагенты/NOUN
новая/ADJ,мембранная/ADJ,технология/NOUN
наибольший/ADJ,народнохозяйственный/ADJ,эффект/NOUN
сложных/ADJ,очистительных/ADJ,сооружений/NOUN
дешевая/ADJ,рабочая/ADJ,сила/NOUN
значительный/ADJ,экономический/ADJ,эффект/NOUN
традиционных/ADJ,химических/ADJ,производствах/NOUN
общего/ADJ,языкового/ADJ,средства/NOUN
знаменитого/ADJ,демидовского/ADJ,клейма/NOUN
государственного/ADJ,общего/ADJ,образования/NOUN
единого/ADJ,народнохозяйственного/ADJ,комплекса/NOUN
русскоязычных/ADJ,учебных/ADJ,группах/NOUN
единого/ADJ,многонационального/ADJ,государства/NOUN
соответствующие/ADJ,республиканские/ADJ,акты/NOUN
новое/ADJ,законодательное/ADJ,решение/NOUN
резкую/ADJ,отрицательную/ADJ,оценку/NOUN
великую/ADJ,человеческую/ADJ,культуру/NOUN
жесткого/ADJ,социального/ADJ,угнетения/NOUN
русской/ADJ,языковой/ADJ,стихии/NOUN
прежних/ADJ,застойных/ADJ,лет/NOUN
современной/ADJ,земной/ADJ,цивилизации/NOUN
Иные/ADJ,местные/ADJ,деятели/NOUN
высокой/ADJ,политической/ADJ,культуры/NOUN
другого/ADJ,гипотетического/ADJ,спонсора/NOUN
независимого/ADJ,демократического/ADJ,государства/NOUN
строгого/ADJ,централизованного/ADJ,руководства/NOUN
гуманной/ADJ,демократической/ADJ,основе/NOUN
крепких/ADJ,рабочих/ADJ,рук/NOUN
влиятельной/ADJ,политической/ADJ,силой/NOUN
реальной/ADJ,политической/ADJ,силе/NOUN
широкую/ADJ,общественную/ADJ,поддержку/NOUN
ударную/ADJ,рабочую/ADJ,силу/NOUN
старших/ADJ,возрастных/ADJ,групп/NOUN
нормальный/ADJ,демократический/ADJ,процесс/NOUN
общих/ADJ,молодежных/ADJ,проблем/NOUN
острых/ADJ,социальных/ADJ,ситуациях/NOUN
демидовским/ADJ,кровельным/ADJ,железом/NOUN
реального/ADJ,политического/ADJ,влияния/NOUN
единого/ADJ,молодежного/ADJ,союза/NOUN
международного/ADJ,молодежного/ADJ,движения/NOUN
высших/ADJ,учебных/ADJ,заведений/NOUN
необходимых/ADJ,технических/ADJ,работников/NOUN
серьезного/ADJ,убедительного/ADJ,объяснения/NOUN
прочих/ADJ,грунтовых/ADJ,образований/NOUN
Центральной/ADJ,избирательной/ADJ,комиссии/NOUN
новый/ADJ,избирательный/ADJ,порядок/NOUN
исследовательский/ADJ,космический/ADJ,аппарат/NOUN
экспериментальных/ADJ,многомандатных/ADJ,округах/NOUN
Московской/ADJ,городской/ADJ,организации/NOUN
другая/ADJ,значительная/ADJ,часть/NOUN
глобальным/ADJ,магнитным/ADJ,полем/NOUN
нынешней/ADJ,предвыборной/ADJ,кампании/NOUN
других/ADJ,социальных/ADJ,групп/NOUN
соответствующую/ADJ,избирательную/ADJ,комиссию/NOUN
окружное/ADJ,предвыборное/ADJ,собрание/NOUN
окружному/ADJ,предвыборному/ADJ,собранию/NOUN
других/ADJ,легких/ADJ,элементов/NOUN
высшему/ADJ,представительному/ADJ,органу/NOUN
нового/ADJ,советского/ADJ,парламента/NOUN
сегодняшней/ADJ,политической/ADJ,публицистики/NOUN
советскими/ADJ,космическими/ADJ,аппаратами/NOUN
корыстных/ADJ,ведомственных/ADJ,амбиций/NOUN
добротная/ADJ,научная/ADJ,экспертиза/NOUN
келейного/ADJ,бюрократического/ADJ,решения/NOUN
современным/ADJ,мировым/ADJ,опытом/NOUN
великолепных/ADJ,спортивных/ADJ,сооружениях/NOUN
реальный/ADJ,альтернативный/ADJ,характер/NOUN
околонаучных/ADJ,политических/ADJ,влияний/NOUN
собственный/ADJ,политический/ADJ,вес/NOUN
крупным/ADJ,народнохозяйственным/ADJ,проектам/NOUN
хорошего/ADJ,депутатского/ADJ,тона/NOUN
марсианских/ADJ,научных/ADJ,программ/NOUN
нового/ADJ,ведомственного/ADJ,диктата/NOUN
широкое/ADJ,народное/ADJ,движение/NOUN
единой/ADJ,энергетической/ADJ,системой/NOUN
южнорусского/ADJ,уникального/ADJ,чернозема/NOUN
реальных/ADJ,исторических/ADJ,процессов/NOUN
мощное/ADJ,идеологическое/ADJ,оружие/NOUN
различных/ADJ,социальных/ADJ,групп/NOUN
всевозможными/ADJ,демагогическими/ADJ,ухищрениями/NOUN
иную/ADJ,историческую/ADJ,эпоху/NOUN
Тяжелая/ADJ,политическая/ADJ,цена/NOUN
собственные/ADJ,корыстные/ADJ,замыслы/NOUN
устойчивые/ADJ,демагогические/ADJ,карнавалы/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
индивидуальная/ADJ,трудовая/ADJ,деятельность/NOUN
Лос-Аламосская/ADJ,национальная/ADJ,лаборатория/NOUN
честной/ADJ,идеологической/ADJ,борьбой/NOUN
должной/ADJ,научной/ADJ,обоснованностью/NOUN
