rythme/NOUN,cardiaque/ADJ,normal/ADJ
acide/NOUN,zolédronique/ADJ,monohydraté/ADJ
acide/NOUN,zolédronique/ADJ,anhydre/ADJ
acide/NOUN,zolédronique/ADJ,monohydraté/ADJ
unique/ADJ,perfusion/NOUN,intraveineuse/ADJ
expérience/NOUN,clinique/ADJ,limitée/ADJ
insuffisance/NOUN,rénale/ADJ,sévère/ADJ
expérience/NOUN,clinique/ADJ,limitée/ADJ
remodelage/NOUN,osseux/ADJ,élevé/ADJ
même/ADJ,substance/NOUN,active/ADJ
mauvaise/ADJ,hygiène/NOUN,buccale/ADJ
intervention/NOUN,dentaire/ADJ,invasive/ADJ
forte/ADJ,liaison/NOUN,protéique/ADJ
événement/NOUN,indésirable/ADJ,grave/ADJ
insuffisance/NOUN,rénale/ADJ,aiguë/ADJ
vaste/ADJ,étude/NOUN,clinique/ADJ
autres/ADJ,chirurgies/NOUN,dentaires/ADJ
maladie/NOUN,buccale/ADJ,préexistante/ADJ
vaste/ADJ,étude/NOUN,clinique/ADJ
traitement/NOUN,anti-ostéoporotique/ADJ,concomitant/ADJ
traitements/NOUN,anti-ostéoporotiques/ADJ,concomitants/ADJ
fractures/NOUN,vertébrales/ADJ,morphométriques/ADJ
nouvelle/ADJ,fracture/NOUN,vertébrale/ADJ
nouvelle/ADJ,fracture/NOUN,vertébrale/ADJ
traitement/NOUN,anti-ostéoporotique/ADJ,concomitant/ADJ
densité/NOUN,minérale/ADJ,osseuse/ADJ
premier/ADJ,astronome/NOUN,français/ADJ
troisième/ADJ,dose/NOUN,annuelle/ADJ
volume/NOUN,osseux/ADJ,trabéculaire/ADJ
phosphatases/NOUN,alcalines/ADJ,spécifiques/ADJ
Fracture/NOUN,vertébrale/ADJ,clinique/ADJ
densité/NOUN,minérale/ADJ,osseuse/ADJ
phosphatases/NOUN,alcalines/ADJ,sériques/ADJ
phosphatases/NOUN,alcalines/ADJ,sériques/ADJ
marqueurs/NOUN,biochimiques/ADJ,osseux/ADJ
clairance/NOUN,corporelle/ADJ,totale/ADJ
grande/ADJ,ligne/NOUN,droite/ADJ
large/ADJ,ruban/NOUN,noir/ADJ
grande/ADJ,limousine/NOUN,noire/ADJ
jeune/ADJ,musique/NOUN,polonaise/ADJ
maladies/NOUN,virales/ADJ,émergentes/ADJ
dernière/ADJ,petite/ADJ,question/NOUN
premier/ADJ,bulletin/NOUN,trimestriel/ADJ
toutes/ADJ,premières/ADJ,disciples/NOUN
grande/ADJ,ligne/NOUN,droite/ADJ
différentes/ADJ,couches/NOUN,sociales/ADJ
mauvaise/ADJ,foi/NOUN,soviétique/ADJ
nouvel/ADJ,ordre/NOUN,international/ADJ
petite/ADJ,référence/NOUN,philosophique/ADJ
dix-neuvième/ADJ,siècle/NOUN,romantique/ADJ
réseaux/NOUN,sociaux/ADJ,thématiques/ADJ
petite/ADJ,scène/NOUN,couverte/ADJ
